subj_id,free_response
2,my knowledge of certain historical facts. Maybe to find out what i know and learned. My level of knowledge maybe/
3,"The average person's intelligence of history, maybe."
10,How certain are people regarding what they believe they and others know about various facts?
12,What kinds of facts do people find believable or not believable.
24,To determine how much people know generally about history by demographic.
30,How much knowledge about history people have. How much they know about the world and world history.
33,"people finding out about true or false, able to figure out lies."
35,Peoples beliefs in false information and how it affects their knowledge
40,I think it was to test how well your reasoning ability is related to your confidence level in your answers to the true/false questions.
41,"Measuring confidence levels of ""facts"" and comparing that to what is correct"
45,Maybe testing my biases for historical facts and whether I would change my opinion in different formats.
49,"I have no clue, although I am rapidly becoming angry at being asked."
51,"I thought maybe it is testing other capacities, such as deductive reasoning."
53,How well participants are able to answer general trivia questions after being subjected to logical reasoning questions.
55,I really have no idea.  Maybe trying to see how educated the average participant is?
58,I am not sure what was being tested.  So I would not want to guess.
60,I think of what the intelligence of the average person would be.
61,How people's perceptions of what is true affects what they think other people think is true or false.
69,I am not sure. I really don't know what the actual purpose was.
71,I’m not sure what was being tested.  Perhaps it was just a test of overall knowledge that people have?
73,"possibility of believing false information, how open a person is to believing false statements"
77,I would guess that you were testing my knowledge of events that happened in the past.
78,I am uncertain what the research being tested is in this study
85,"Something devilish, maybe even sun-related. Have a great day y'all!!"
86,I have no idea what else would have been tested as part of this study.
91,impact of prior exposure to information and priming for decisions
93,Belivability of true/false?  I'm not really sure.  I was curious at some of the answers.
96,I suppose it could be trying to test whether our initial thoughts on which statement people would think more true would impact our later evaluations on whether the statements were true or not.
97,Ability to recall and guess the correct information.
101,General knowledge amongst the average person or the ability to recall historic people and events
107,If we could guess if the answer was true or false properly
108,I don't know what the specific research question would be.
113,Testing if reading false facts mixed with true facts will cause people to second guess their answers.
116,Historical knowledge of the average American citizen.
117,See if people were primed into wrong answers if they saw a false statement on the initial list of statement pairs.
127,I don't know.  Maybe to measure our confidence in general knowledge.
139,How much I was paying attention throughout the study.
142,peoples knowledge on certain topics or the history behind things
146,Maybe to see how believable we thought certain things were based on how they were presented.
153,how people self judge themselves compared to others
154,I think it was testing whether or not people are knowledgeable when it comes to historic facts.
155,Maybe how people can use reason to determine if a fact is true.
159,I honestly don't know! I just felt like there was probably more to it than a simple quiz.
165,Something to do with confidence in general knowledge? Not sure!
166,maybe peoples historical understanding after a comparison quiz
167,"I have no idea, maybe what one's own thoughts on what they know or what they think they know versus what they think others may or may not know."
172,How people respond to facts based on whether or not they have seen them before?
176,It is used to test how much knowledge I have about my country
184,Memory for events and consistency in responding before and after a distractor task
187,Your opinion of the average person's intelligence vs your own.
191,To see whether people think everyone knows/thinks the same as them?
192,How confident we can answer questions incorrectly?
193,My guess is how much of American history do people believe something incorrect.
194,knowledge of general americans and what they know at each age
196,"I'm not exactly certain, but possibly something to do with language and certainty."
201,I don't know but the questions seemed too specific
204,Our confidence in what we believed was true after doing the reasoning test?
209,"I think the study was maybe about how I would compare to an average person, whether or not I think I'm better than the average person at trivia."
213,If we are influenced by information we have seen before?
214,I do not know what the specific research question was being tested here.
220,"If I had to guess what was being tested, it was people's memories in regards to remembering information about rational and trivia information."
221,"Whether in the second round, my confidence level was higher in questions/statements I saw in the first round."
222,Trivial questions about history. Possibly about memory/recall as well.
227,"What biases lead to people choosing certain answers as being true, even when they are false."
235,Maybe to see how likely we are to assume what other people believe is true based on what we believe to be true.
238,To study reasoning and problem solving abilities of an average person.
243,"unsure what is being tested in this study, don't know"
244,To see if statements we were more confident were true or false were ones we rated as more or less likely to be believed by the general public.
245,"I don't know, but it wasn't about my knowledge base."
247,How people reform and revise their beliefs about different topics.
248,I think it was to see if people would be influenced by previous reading statements and believing they were true.
253,If what an individual believes is different than what they think the average American believes.
