subj_id,age,gender,condition,exposure_cond,trial,response,phase,group,set,item_num,item,item_type,item_pair,exposed
7,26,Male,1,fact,1_Exposure_g1_fact,A little surprising,exposure,1,1,1,nobel_A,A,nobel,1
10,37,Male,1,fact,1_Exposure_g1_fact,Somewhat surprising,exposure,1,1,1,nobel_A,A,nobel,1
21,57,Female,1,fact,1_Exposure_g1_fact,A little surprising,exposure,1,1,1,nobel_A,A,nobel,1
34,32,Male,1,fact,1_Exposure_g1_fact,A little surprising,exposure,1,1,1,nobel_A,A,nobel,1
45,36,Male,1,fact,1_Exposure_g1_fact,Not at all surprising,exposure,1,1,1,nobel_A,A,nobel,1
69,35,Female,1,fact,1_Exposure_g1_fact,Surprising,exposure,1,1,1,nobel_A,A,nobel,1
101,24,Female,1,fact,1_Exposure_g1_fact,Not at all surprising,exposure,1,1,1,nobel_A,A,nobel,1
119,35,Male,1,fact,1_Exposure_g1_fact,Surprising,exposure,1,1,1,nobel_A,A,nobel,1
132,71,Male,1,fact,1_Exposure_g1_fact,Somewhat surprising,exposure,1,1,1,nobel_A,A,nobel,1
138,31,Male,1,fact,1_Exposure_g1_fact,A little surprising,exposure,1,1,1,nobel_A,A,nobel,1
150,31,Male,1,fact,1_Exposure_g1_fact,Not at all surprising,exposure,1,1,1,nobel_A,A,nobel,1
180,31,Male,1,fact,1_Exposure_g1_fact,Surprising,exposure,1,1,1,nobel_A,A,nobel,1
208,40,Male,1,fact,1_Exposure_g1_fact,Surprising,exposure,1,1,1,nobel_A,A,nobel,1
223,29,Male,1,fact,1_Exposure_g1_fact,Not at all surprising,exposure,1,1,1,nobel_A,A,nobel,1
233,27,Female,1,fact,1_Exposure_g1_fact,Not at all surprising,exposure,1,1,1,nobel_A,A,nobel,1
239,23,Male,1,fact,1_Exposure_g1_fact,Surprising,exposure,1,1,1,nobel_A,A,nobel,1
253,61,Male,1,fact,1_Exposure_g1_fact,Surprising,exposure,1,1,1,nobel_A,A,nobel,1
254,40,Male,1,fact,1_Exposure_g1_fact,Not at all surprising,exposure,1,1,1,nobel_A,A,nobel,1
266,40,Male,1,fact,1_Exposure_g1_fact,A little surprising,exposure,1,1,1,nobel_A,A,nobel,1
268,38,Female,1,fact,1_Exposure_g1_fact,Somewhat surprising,exposure,1,1,1,nobel_A,A,nobel,1
308,41,Male,1,fact,1_Exposure_g1_fact,Somewhat surprising,exposure,1,1,1,nobel_A,A,nobel,1
320,30,Male,1,fact,1_Exposure_g1_fact,Somewhat surprising,exposure,1,1,1,nobel_A,A,nobel,1
341,40,Male,1,fact,1_Exposure_g1_fact,A little surprising,exposure,1,1,1,nobel_A,A,nobel,1
342,39,Female,1,fact,1_Exposure_g1_fact,Not at all surprising,exposure,1,1,1,nobel_A,A,nobel,1
364,32,Female,1,fact,1_Exposure_g1_fact,A little surprising,exposure,1,1,1,nobel_A,A,nobel,1
367,37,Male,1,fact,1_Exposure_g1_fact,A little surprising,exposure,1,1,1,nobel_A,A,nobel,1
376,28,Female,1,fact,1_Exposure_g1_fact,A little surprising,exposure,1,1,1,nobel_A,A,nobel,1
386,58,Male,1,fact,1_Exposure_g1_fact,Somewhat surprising,exposure,1,1,1,nobel_A,A,nobel,1
389,37,Female,1,fact,1_Exposure_g1_fact,A little surprising,exposure,1,1,1,nobel_A,A,nobel,1
3,24,Female,1,quiz,1_Exposure_g1_quiz,Maybe True,exposure,1,1,1,nobel_A,A,nobel,1
5,39,Female,1,quiz,1_Exposure_g1_quiz,Maybe True,exposure,1,1,1,nobel_A,A,nobel,1
8,38,Female,1,quiz,1_Exposure_g1_quiz,Maybe True,exposure,1,1,1,nobel_A,A,nobel,1
22,19,Male,1,quiz,1_Exposure_g1_quiz,Maybe True,exposure,1,1,1,nobel_A,A,nobel,1
28,55,Male,1,quiz,1_Exposure_g1_quiz,Definitely False,exposure,1,1,1,nobel_A,A,nobel,1
29,32,Male,1,quiz,1_Exposure_g1_quiz,Maybe False,exposure,1,1,1,nobel_A,A,nobel,1
30,37,Female,1,quiz,1_Exposure_g1_quiz,Probably True,exposure,1,1,1,nobel_A,A,nobel,1
38,44,Male,1,quiz,1_Exposure_g1_quiz,Maybe False,exposure,1,1,1,nobel_A,A,nobel,1
40,29,Male,1,quiz,1_Exposure_g1_quiz,Maybe True,exposure,1,1,1,nobel_A,A,nobel,1
41,30,Male,1,quiz,1_Exposure_g1_quiz,Maybe True,exposure,1,1,1,nobel_A,A,nobel,1
42,47,Female,1,quiz,1_Exposure_g1_quiz,Probably False,exposure,1,1,1,nobel_A,A,nobel,1
47,39,Female,1,quiz,1_Exposure_g1_quiz,Probably False,exposure,1,1,1,nobel_A,A,nobel,1
53,70,Male,1,quiz,1_Exposure_g1_quiz,Definitely False,exposure,1,1,1,nobel_A,A,nobel,1
57,49,Male,1,quiz,1_Exposure_g1_quiz,Definitely True,exposure,1,1,1,nobel_A,A,nobel,1
60,30,Female,1,quiz,1_Exposure_g1_quiz,Maybe True,exposure,1,1,1,nobel_A,A,nobel,1
61,29,Male,1,quiz,1_Exposure_g1_quiz,Maybe True,exposure,1,1,1,nobel_A,A,nobel,1
65,32,Female,1,quiz,1_Exposure_g1_quiz,Probably False,exposure,1,1,1,nobel_A,A,nobel,1
67,64,Female,1,quiz,1_Exposure_g1_quiz,Probably False,exposure,1,1,1,nobel_A,A,nobel,1
78,28,Prefer not to say,1,quiz,1_Exposure_g1_quiz,Maybe True,exposure,1,1,1,nobel_A,A,nobel,1
80,34,Female,1,quiz,1_Exposure_g1_quiz,Maybe True,exposure,1,1,1,nobel_A,A,nobel,1
81,39,Male,1,quiz,1_Exposure_g1_quiz,Maybe False,exposure,1,1,1,nobel_A,A,nobel,1
85,26,Female,1,quiz,1_Exposure_g1_quiz,Maybe True,exposure,1,1,1,nobel_A,A,nobel,1
87,34,Male,1,quiz,1_Exposure_g1_quiz,Maybe True,exposure,1,1,1,nobel_A,A,nobel,1
89,52,Male,1,quiz,1_Exposure_g1_quiz,Maybe True,exposure,1,1,1,nobel_A,A,nobel,1
90,46,Female,1,quiz,1_Exposure_g1_quiz,Maybe True,exposure,1,1,1,nobel_A,A,nobel,1
92,31,Male,1,quiz,1_Exposure_g1_quiz,Probably False,exposure,1,1,1,nobel_A,A,nobel,1
95,38,Female,1,quiz,1_Exposure_g1_quiz,Definitely False,exposure,1,1,1,nobel_A,A,nobel,1
98,60,Female,1,quiz,1_Exposure_g1_quiz,Probably True,exposure,1,1,1,nobel_A,A,nobel,1
100,37,Male,1,quiz,1_Exposure_g1_quiz,Maybe True,exposure,1,1,1,nobel_A,A,nobel,1
102,25,Male,1,quiz,1_Exposure_g1_quiz,Maybe False,exposure,1,1,1,nobel_A,A,nobel,1
106,28,Female,1,quiz,1_Exposure_g1_quiz,Probably True,exposure,1,1,1,nobel_A,A,nobel,1
107,34,Male,1,quiz,1_Exposure_g1_quiz,Definitely False,exposure,1,1,1,nobel_A,A,nobel,1
109,28,Female,1,quiz,1_Exposure_g1_quiz,Maybe True,exposure,1,1,1,nobel_A,A,nobel,1
