subj_id,age,gender,condition,exposure_cond,trial,response,phase,group,set,item_num,item,item_type,item_pair,exposed
2,25,Male,1,interest,1_Exposure_g1_quiz,Somewhat interesting,exposure,1,1,1,nobel_A,A,nobel,TRUE
4,33,Male,1,interest,1_Exposure_g1_quiz,Slightly interesting,exposure,1,1,1,nobel_A,A,nobel,TRUE
5,32,Male,1,interest,1_Exposure_g1_quiz,Somewhat interesting,exposure,1,1,1,nobel_A,A,nobel,TRUE
6,33,Female,1,interest,1_Exposure_g1_quiz,Slightly interesting,exposure,1,1,1,nobel_A,A,nobel,TRUE
7,31,Female,1,interest,1_Exposure_g1_quiz,Slightly interesting,exposure,1,1,1,nobel_A,A,nobel,TRUE
10,32,Female,1,interest,1_Exposure_g1_quiz,Interesting,exposure,1,1,1,nobel_A,A,nobel,TRUE
16,41,Male,1,interest,1_Exposure_g1_quiz,Somewhat interesting,exposure,1,1,1,nobel_A,A,nobel,TRUE
17,39,Female,1,interest,1_Exposure_g1_quiz,Somewhat interesting,exposure,1,1,1,nobel_A,A,nobel,TRUE
18,44,Male,1,interest,1_Exposure_g1_quiz,Somewhat interesting,exposure,1,1,1,nobel_A,A,nobel,TRUE
20,53,Female,1,interest,1_Exposure_g1_quiz,Slightly interesting,exposure,1,1,1,nobel_A,A,nobel,TRUE
21,36,Female,1,interest,1_Exposure_g1_quiz,Not at all interesting,exposure,1,1,1,nobel_A,A,nobel,TRUE
30,32,Female,1,interest,1_Exposure_g1_quiz,Somewhat interesting,exposure,1,1,1,nobel_A,A,nobel,TRUE
33,45,Male,1,interest,1_Exposure_g1_quiz,Very interesting,exposure,1,1,1,nobel_A,A,nobel,TRUE
37,33,Female,1,interest,1_Exposure_g1_quiz,Somewhat interesting,exposure,1,1,1,nobel_A,A,nobel,TRUE
38,49,Female,1,interest,1_Exposure_g1_quiz,Interesting,exposure,1,1,1,nobel_A,A,nobel,TRUE
39,31,Male,1,interest,1_Exposure_g1_quiz,Somewhat interesting,exposure,1,1,1,nobel_A,A,nobel,TRUE
40,49,Female,1,interest,1_Exposure_g1_quiz,Somewhat interesting,exposure,1,1,1,nobel_A,A,nobel,TRUE
42,34,Male,1,interest,1_Exposure_g1_quiz,Interesting,exposure,1,1,1,nobel_A,A,nobel,TRUE
46,30,Female,1,interest,1_Exposure_g1_quiz,Slightly interesting,exposure,1,1,1,nobel_A,A,nobel,TRUE
49,29,Male,1,interest,1_Exposure_g1_quiz,Somewhat interesting,exposure,1,1,1,nobel_A,A,nobel,TRUE
52,26,Male,1,interest,1_Exposure_g1_quiz,Very interesting,exposure,1,1,1,nobel_A,A,nobel,TRUE
54,36,Female,1,interest,1_Exposure_g1_quiz,Very interesting,exposure,1,1,1,nobel_A,A,nobel,TRUE
56,39,Female,1,interest,1_Exposure_g1_quiz,Somewhat interesting,exposure,1,1,1,nobel_A,A,nobel,TRUE
63,40,Female,1,interest,1_Exposure_g1_quiz,Somewhat interesting,exposure,1,1,1,nobel_A,A,nobel,TRUE
66,56,Female,1,interest,1_Exposure_g1_quiz,Very interesting,exposure,1,1,1,nobel_A,A,nobel,TRUE
69,31,Male,1,interest,1_Exposure_g1_quiz,Somewhat interesting,exposure,1,1,1,nobel_A,A,nobel,TRUE
70,30,Male,1,interest,1_Exposure_g1_quiz,Slightly interesting,exposure,1,1,1,nobel_A,A,nobel,TRUE
71,46,Female,1,interest,1_Exposure_g1_quiz,Somewhat interesting,exposure,1,1,1,nobel_A,A,nobel,TRUE
74,36,Female,1,interest,1_Exposure_g1_quiz,Interesting,exposure,1,1,1,nobel_A,A,nobel,TRUE
75,30,Female,1,interest,1_Exposure_g1_quiz,Slightly interesting,exposure,1,1,1,nobel_A,A,nobel,TRUE
76,46,Male,1,interest,1_Exposure_g1_quiz,Slightly interesting,exposure,1,1,1,nobel_A,A,nobel,TRUE
80,45,Female,1,interest,1_Exposure_g1_quiz,Slightly interesting,exposure,1,1,1,nobel_A,A,nobel,TRUE
82,29,Female,1,interest,1_Exposure_g1_quiz,Very interesting,exposure,1,1,1,nobel_A,A,nobel,TRUE
84,42,Male,1,interest,1_Exposure_g1_quiz,Very interesting,exposure,1,1,1,nobel_A,A,nobel,TRUE
89,34,Female,1,interest,1_Exposure_g1_quiz,Slightly interesting,exposure,1,1,1,nobel_A,A,nobel,TRUE
